"","go_ids","Freq"
"1","GO:0000003",326
"2","GO:0000015",80
"3","GO:0000018",86
"4","GO:0000027",681
"5","GO:0000028",930
"6","GO:0000035",80
"7","GO:0000036",80
"8","GO:0000041",161
"9","GO:0000049",124
"10","GO:0000079",41
"11","GO:0000086",41
"12","GO:0000096",249
"13","GO:0000097",173
"14","GO:0000101",121
"15","GO:0000103",44
"16","GO:0000104",160
"17","GO:0000139",77
"18","GO:0000140",2
"19","GO:0000150",43
"20","GO:0000151",6
"21","GO:0000152",4
"22","GO:0000154",595
"23","GO:0000155",79
"24","GO:0000160",79
"25","GO:0000162",317
"26","GO:0000166",2878
"27","GO:0000175",166
"28","GO:0000226",37
"29","GO:0000229",80
"30","GO:0000270",855
"31","GO:0000271",413
"32","GO:0000278",283
"33","GO:0000280",41
"34","GO:0000281",241
"35","GO:0000287",1634
"36","GO:0000302",239
"37","GO:0000303",80
"38","GO:0000305",80
"39","GO:0000322",55
"40","GO:0000323",55
"41","GO:0000324",55
"42","GO:0000329",55
"43","GO:0000408",80
"44","GO:0000413",102
"45","GO:0000428",122
"46","GO:0000451",203
"47","GO:0000453",203
"48","GO:0000455",81
"49","GO:0000462",160
"50","GO:0000469",81
"51","GO:0000470",80
"52","GO:0000478",81
"53","GO:0000502",241
"54","GO:0000702",116
"55","GO:0000703",116
"56","GO:0000715",81
"57","GO:0000716",81
"58","GO:0000724",98
"59","GO:0000725",424
"60","GO:0000731",83
"61","GO:0000737",6
"62","GO:0000738",1
"63","GO:0000774",80
"64","GO:0000785",86
"65","GO:0000786",80
"66","GO:0000787",80
"67","GO:0000789",80
"68","GO:0000793",41
"69","GO:0000819",80
"70","GO:0000820",80
"71","GO:0000900",80
"72","GO:0000902",1
"73","GO:0000904",1
"74","GO:0000906",80
"75","GO:0000909",4
"76","GO:0000910",282
"77","GO:0000917",241
"78","GO:0000918",81
"79","GO:0000920",3
"80","GO:0000966",161
"81","GO:0000967",81
"82","GO:0000976",366
"83","GO:0000984",202
"84","GO:0000985",120
"85","GO:0000986",2
"86","GO:0000987",2
